Supplier Name,SWBEVG - SOUTHWESTERN BEVERAGE (OTHER)(CO) m o,,,,,,,,,,,,,,,,,,,,
Supplier Xref,SWBEVG,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Product Code,Item Name,Xref Code,Linked Item Xref Code,Formula #1,Formula #2,Description,Status,Supplier Item Group,Supplier Package UOM,Package Qty,Availability Start Date,Availability End Date,Barcode Type,Barcode Number,Cost Level,Package Cost,Allowance,Start Date,End Date,,
_022100000049,PABST 24z CN,154543,154543,,,,a,401 01 003,Case,12,,,u,_022100000049,Master,15.35,0,1900-01-01,2075-12-31,,
_022100000049,,,,,,,,,,,,,u,_022100000414,,,,,,,
_022100000049,,,,,,,,,,,,,u,_022100001114,,,,,,,
_028000504250,NESQUIK DBL CHOC SS,122196,122196,,,,a,601 07 410,Case,12,,,u,_028000504205,Master,16.36,0,1900-01-01,2075-12-31,,
_028000504250,,,,,,,,,,,,,u,_028000504250,,,,,,,
_028000504250,,,,,,,,,,,,,u,_028000895037,,,,,,,
_028000504250,,,,,,,,,,,,,u,_028000950385,,,,,,,
_028000504250,,,,,,,,,,,,,u,_280005042056,,,,,,,
_090478410012,JARRITOS MANDARIN 12.5z,1065357,1065357,,,,a,901 08 010,Case,24,,,u,_090478410012,Master,20,0,1900-01-01,2075-12-31,,
_613008715267,ARIZONA GREEN TEA 23.5Z CN,82130,82130,,,,a,601 14 000,Case,24,,,u,_613008715267,Master,18.95,0,1900-01-01,2075-12-31,,
_613008717711,ARIZONA SWEET TEA 23.5Z CN,127631,127631,,,,a,601 14 000,Case,24,,,u,_613008717711,Master,18.95,0,1900-01-01,2075-12-31,,
_613008719302,ARIZONA ARNOLD PALM 23.5z,176399,176399,,,,a,601 14 000,Case,24,,,u,_613008719302,Master,18.95,0,1900-01-01,2075-12-31,,
_613008720209,ARIZONA WATERMELON 23.5Z CN,181057,181057,,,,a,601 12A 000,Case,24,,,u,_613008720209,Master,18.95,0,1900-01-01,2075-12-31,,
_613008735159,ARIZONA ICE TEA LEMON 23.5Z CN,24344,24344,,,,a,601 14 000,Case,24,,,u,_088130994635,Master,18.95,0,1900-01-01,2075-12-31,,
_613008735159,,,,,,,,,,,,,u,_613008735159,,,,,,,
_613008735470,ARIZONA RASP ICE TEA 23.5Z CN,27298,27298,,,,a,601 14 000,Case,24,,,u,_088130994642,Master,18.95,0,1900-01-01,2075-12-31,,
_613008735470,,,,,,,,,,,,,u,_613008723408,,,,,,,
_613008735470,,,,,,,,,,,,,u,_613008735470,,,,,,,
_657227000339,ESSENTIA WATER 1L,1089078,1089078,,,,a,601 10 000,Case,12,,,u,_657227000339,Master,16.34,0,1900-01-01,2075-12-31,,
_813694023893,BAI SUPERTEA PEACH  18z,1080056,1080056,,,,a,601 14 000,Case,12,,,u,_813694023893,Master,19,0,1900-01-01,2075-12-31,,
_813694023893,,,,,,,,,,,,,u,_813694023961,,,,,,,
_842885097153,XYIENCE FROSTBERRY 16z,1052640,1052640,,,,a,601 13A 000,Case,12,,,u,_842885097153,Master,17,0,1900-01-01,2075-12-31,,
_852311004013,BAI BRASILIA BLUE BERRY 18z,1056039,1056039,,,,a,601 11A 000,Case,12,,,u,_852311004013,Master,19,0,1900-01-01,2075-12-31,,
_852311004273,BAI MOLOKAI COCONUT 18z,1056049,1056049,,,,a,601 11A 000,Case,12,,,u,_852311004273,Master,19,0,1900-01-01,2075-12-31,,
