,,Common Item Properties,,,,,,,,,Tracking,,,,,,,,,Unit of Measure Conversions,,,,,,,,,,Selling,,,,,,,,,,,,,      Attributes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Item Groups,,,,,,,,,
Item ExternalID,Purged in BC,Item Name*,Item Description*,SoldAs*,Category*,Base UOM Class*,Reported In UOM,Manufacturer,SKUNumber,Taxability*,,,,,,,,,,Conversion 1,,,,,Conversion 2,,,,,Base Properties,,,,,,Retail Packs,,,,,,,Attribute #1,,Attribute #2,,Attribute #3,,Attribute #4,,Attribute #5,,Attribute #6,,Attribute #7,,Attribute #8,,Attribute #9,,Attribute #10,,Attribute #11,,Attribute #12,,Attribute #13,,Attribute #14,,Attribute #15,,Attribute #16,,Attribute #17,,Attribute #18,,Attribute #19,,Attribute #20,,Attribute #21,,Attribute #22,,Attribute #23,,Attribute #24,,Attribute #25,,Attribute #26,,Attribute #27,,Attribute #28,,Attribute #29,,Attribute #30,,,,,,,,,,,
,,,,,,,,,,,Active*,Track*,Expense Upon Receiving,Allow Fractional Quantities,Set Variance to Zero,Waste Tolerence,Missing Tolerence,Default Adjustment UOM,Default Transfer UOM,From UOM,From Qty,To Class,To UOM,To Qty,From UOM,From Qty,To Class,To UOM,To Qty,Retail Strategry,Prompt for Qty at POS*,Auto Queue Shelf Label*,Requires Swipe at POS*,Credit Category,Shelf Label UOM,Pack Name*,Pack Qty*,Retail Level Group,External Id*,List Price*,Barcode Type*,Barcode Number*,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Item Group #1,Item Group #2,Item Group #3,Item Group #4,Item Group #5,Item Group #6,Item Group #7,Item Group #8,Item Group #9,Item Group #10
37003163,n,STRAW GIANT PAPER WRPD 10.25IN,,n,215 01 000 Non Perishable Supply,Count,,SPEEDWAY LLC,,Use Category Setting,y,y,n,n,n,,,Each,Each,,,,,,,,,,,Default Strategy,n,n,n,,,NULL,NULL,NULL,NULL,NULL,,_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transfer Group,,,,,,,,,
37003312,n,BIB BARRILITOS AQUA FRSCA PEAR/C 2.5,,n,215 01 001 Perishable Supply,Count,,Coca Cola,,Use Category Setting,y,y,n,n,n,,,Each,Each,,,Volume,Gallon,2.5,,,,,,Default Strategy,n,n,n,,,NULL,NULL,NULL,NULL,NULL,,_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transfer Group,,,,,,,,,
37003313,n,BIB BARRILITOS AQUA FRSC MNGO LM 2.5,,n,215 01 001 Perishable Supply,Count,,Coca Cola,,Use Category Setting,y,y,n,n,n,,,Each,Each,,,Volume,Gallon,2.5,,,,,,Default Strategy,n,n,n,,,NULL,NULL,NULL,NULL,NULL,,_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transfer Group,,,,,,,,,
37003314,n,BIB BARRILITOS AQUA FRSC STW/HIB 2.5,,n,215 01 001 Perishable Supply,Count,,Coca Cola,,Use Category Setting,y,y,n,n,n,,,Each,Each,,,Volume,Gallon,2.5,,,,,,Default Strategy,n,n,n,,,NULL,NULL,NULL,NULL,NULL,,_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transfer Group,,,,,,,,,
37003315,n,BIB BARRILITOS AQUA FRSCA PNAPLE 2.5,,n,215 01 001 Perishable Supply,Count,,Coca Cola,,Use Category Setting,y,y,n,n,n,,,Each,Each,,,Volume,Gallon,2.5,,,,,,Default Strategy,n,n,n,,,NULL,NULL,NULL,NULL,NULL,,_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transfer Group,,,,,,,,,
1124916,n,BIB FCB PEPSI FRTWRKS WTRM LMNDE,,n,215 01 001 Perishable Supply,Count,,QTG PEPSICO BNB,,Use Category Setting,y,y,n,n,n,,,Each,Each,,,,,,,,,,,Default Strategy,n,n,n,,,NULL,NULL,NULL,NULL,NULL,,_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transfer Group,,,,,,,,,
