08-14-18T07:44:15: Start Log
08-14-18T07:44:15: Price Rows: 1070
08-14-18T07:44:15: Price Rows: 1080
08-14-18T07:44:15: Price Rows: 1090
08-14-18T07:44:15: Price Rows: 1100
08-14-18T07:44:15: Price Rows: 1110
08-14-18T07:44:15: Price Rows: 1120
08-14-18T07:44:15: Price Rows: 1130
08-14-18T07:44:15: Price Rows: 1140
08-14-18T07:44:15: Price Rows: 1150
08-14-18T07:44:15: Price Rows: 1160
08-14-18T07:44:15: Price Rows: 1170
08-14-18T07:44:15: Price Rows: 1180
08-14-18T07:44:15: Price Rows: 1190
08-14-18T07:44:15: Price Rows: 1200
08-14-18T07:44:15: Price Rows: 1210
08-14-18T07:44:15: Price Rows: 1220
08-14-18T07:44:15: Price Rows: 1230
08-14-18T07:44:15: Price Rows: 1240
08-14-18T07:44:15: Price Rows: 1250
08-14-18T07:44:15: Price Rows: 1260
08-14-18T07:44:15: Price Rows: 1270
08-14-18T07:44:15: Price Rows: 1280
08-14-18T07:44:15: Price Rows: 1290
08-14-18T07:44:15: Price Rows: 1300
08-14-18T07:44:15: Price Rows: 1310
08-14-18T07:44:15: Price Rows: 1320
08-14-18T07:44:15: Price Rows: 1330
08-14-18T07:44:15: Price Rows: 1340
08-14-18T07:44:15: Price Rows: 1350
08-14-18T07:44:15: Price Rows: 1360
08-14-18T07:44:15: Price Rows: 1370
08-14-18T07:44:15: Price Rows: 1380
08-14-18T07:44:15: Price Rows: 1390
08-14-18T07:44:15: Price Rows: 1400
08-14-18T07:44:15: Price Rows: 1410
08-14-18T07:44:15: Price Rows: 1420
08-14-18T07:44:15: Price Rows: 1430
08-14-18T07:44:15: Price Rows: 1440
08-14-18T07:44:15: Price Rows: 1450
08-14-18T07:44:15: Price Rows: 1460
08-14-18T07:44:15: Price Rows: 1470
08-14-18T07:44:15: Price Rows: 1480
08-14-18T07:44:15: Price Rows: 1490
08-14-18T07:44:15: Price Rows: 1500
08-14-18T07:44:15: Price Rows: 1510
08-14-18T07:44:15: Price Rows: 1520
08-14-18T07:44:15: Price Rows: 1530
08-14-18T07:44:15: Price Rows: 1540
08-14-18T07:44:15: Price Rows: 1550
08-14-18T07:44:15: Price Rows: 1560
08-14-18T07:44:15: Price Rows: 1570
08-14-18T07:44:15: Price Rows: 1580
08-14-18T07:44:15: Price Rows: 1590
08-14-18T07:44:15: Price Rows: 1600
08-14-18T07:44:15: Price Rows: 1610
08-14-18T07:44:15: Price Rows: 1620
08-14-18T07:44:15: Price Rows: 1630
08-14-18T07:44:15: Price Rows: 1640
08-14-18T07:44:15: Price Rows: 1650
08-14-18T07:44:15: Price Rows: 1660
08-14-18T07:44:15: Price Rows: 1670
08-14-18T07:44:15: Price Rows: 1680
08-14-18T07:44:15: Price Rows: 1690
08-14-18T07:44:15: Price Rows: 1700
08-14-18T07:44:15: Price Rows: 1710
08-14-18T07:44:15: Price Rows: 1720
08-14-18T07:44:15: Price Rows: 1730
08-14-18T07:44:15: Price Rows: 1740
08-14-18T07:44:15: Price Rows: 1750
08-14-18T07:44:15: Price Rows: 1760
08-14-18T07:44:15: Price Rows: 1770
08-14-18T07:44:15: Price Rows: 1780
08-14-18T07:44:15: Price Rows: 1790
08-14-18T07:44:15: Price Rows: 1800
08-14-18T07:44:15: Price Rows: 1810
08-14-18T07:44:15: Price Rows: 1820
08-14-18T07:44:15: Price Rows: 1830
08-14-18T07:44:15: Price Rows: 1840
08-14-18T07:44:15: Price Rows: 1850
08-14-18T07:44:15: Price Rows: 1860
08-14-18T07:44:15: Price Rows: 1870
08-14-18T07:44:15: Price Rows: 1880
08-14-18T07:44:15: Price Rows: 1890
08-14-18T07:44:15: Price Rows: 1900
08-14-18T07:44:15: Price Rows: 1910
08-14-18T07:44:15: Price Rows: 1920
08-14-18T07:44:15: Starting XSL Transform...this could take awhile
08-14-18T07:44:15: Completed XSL Transform.
08-14-18T07:44:15: Starting BU: 0001001-Urbana~OH
08-14-18T07:44:15: Price Rows: 10
08-14-18T07:44:15: Price Rows: 20
08-14-18T07:44:15: Price Rows: 30
08-14-18T07:44:15: Price Rows: 40
08-14-18T07:44:15: Price Rows: 50
08-14-18T07:44:15: Price Rows: 60
08-14-18T07:44:15: Price Rows: 70
08-14-18T07:44:15: Price Rows: 80
08-14-18T07:44:15: Price Rows: 90
08-14-18T07:44:15: Price Rows: 100
08-14-18T07:44:15: Price Rows: 110
08-14-18T07:44:15: Price Rows: 120
08-14-18T07:44:15: Price Rows: 130
08-14-18T07:44:15: Price Rows: 140
08-14-18T07:44:15: Price Rows: 150
08-14-18T07:44:15: Price Rows: 160
08-14-18T07:44:15: Price Rows: 170
08-14-18T07:44:15: Price Rows: 180
08-14-18T07:44:15: Price Rows: 190
08-14-18T07:44:15: Price Rows: 200
08-14-18T07:44:15: Price Rows: 210
08-14-18T07:44:15: Price Rows: 220
08-14-18T07:44:15: Price Rows: 230
08-14-18T07:44:15: Price Rows: 240
08-14-18T07:44:15: Price Rows: 250
08-14-18T07:44:15: Price Rows: 260
08-14-18T07:44:15: Price Rows: 270
08-14-18T07:44:15: Price Rows: 280
08-14-18T07:44:15: Price Rows: 290
08-14-18T07:44:15: Price Rows: 300
08-14-18T07:44:15: Price Rows: 310
08-14-18T07:44:15: Price Rows: 320
08-14-18T07:44:15: Price Rows: 330
08-14-18T07:44:15: Price Rows: 340
08-14-18T07:44:15: Price Rows: 350
08-14-18T07:44:15: Price Rows: 360
08-14-18T07:44:15: Price Rows: 370
08-14-18T07:44:15: Price Rows: 380
08-14-18T07:44:15: Price Rows: 390
08-14-18T07:44:15: Price Rows: 400
08-14-18T07:44:15: Price Rows: 410
08-14-18T07:44:15: Price Rows: 420
08-14-18T07:44:15: Price Rows: 430
08-14-18T07:44:15: Price Rows: 440
08-14-18T07:44:15: Price Rows: 450
08-14-18T07:44:15: Price Rows: 460
08-14-18T07:44:15: Price Rows: 470
08-14-18T07:44:15: Price Rows: 480
08-14-18T07:44:15: Price Rows: 490
08-14-18T07:44:15: Price Rows: 500
08-14-18T07:44:15: Price Rows: 510
08-14-18T07:44:15: Price Rows: 520
08-14-18T07:44:15: Price Rows: 530
08-14-18T07:44:15: Price Rows: 540
08-14-18T07:44:15: Price Rows: 550
08-14-18T07:44:15: Price Rows: 560
08-14-18T07:44:15: Price Rows: 570
08-14-18T07:44:15: Price Rows: 580
08-14-18T07:44:15: Price Rows: 590
08-14-18T07:44:15: Price Rows: 600
08-14-18T07:44:15: Price Rows: 610
08-14-18T07:44:15: Price Rows: 620
08-14-18T07:44:15: Price Rows: 630
08-14-18T07:44:15: Price Rows: 640
08-14-18T07:44:15: Price Rows: 650
08-14-18T07:44:15: Price Rows: 660
08-14-18T07:44:15: Price Rows: 670
08-14-18T07:44:15: Price Rows: 680
08-14-18T07:44:15: Price Rows: 690
08-14-18T07:44:15: Price Rows: 700
08-14-18T07:44:15: Price Rows: 710
08-14-18T07:44:15: Price Rows: 720
08-14-18T07:44:15: Price Rows: 730
08-14-18T07:44:15: Price Rows: 740
08-14-18T07:44:15: Price Rows: 750
08-14-18T07:44:15: Price Rows: 760
08-14-18T07:44:15: Price Rows: 770
08-14-18T07:44:15: Price Rows: 780
08-14-18T07:44:15: Price Rows: 790
08-14-18T07:44:15: Price Rows: 800
08-14-18T07:44:15: Price Rows: 810
08-14-18T07:44:15: Price Rows: 820
08-14-18T07:44:15: Price Rows: 830
08-14-18T07:44:15: Price Rows: 840
08-14-18T07:44:15: Price Rows: 850
08-14-18T07:44:15: Price Rows: 860
08-14-18T07:44:15: Price Rows: 870
08-14-18T07:44:15: Price Rows: 880
08-14-18T07:44:15: Price Rows: 890
08-14-18T07:44:15: Price Rows: 900
08-14-18T07:44:15: Price Rows: 910
08-14-18T07:44:15: Price Rows: 920
08-14-18T07:44:15: Price Rows: 930
08-14-18T07:44:15: Price Rows: 940
08-14-18T07:44:15: Price Rows: 950
08-14-18T07:44:15: Price Rows: 960
08-14-18T07:44:15: Price Rows: 970
08-14-18T07:44:15: Price Rows: 980
08-14-18T07:44:15: Price Rows: 990
08-14-18T07:44:15: Price Rows: 1000
08-14-18T07:44:15: Price Rows: 1010
08-14-18T07:44:15: Price Rows: 1020
08-14-18T07:44:15: Price Rows: 1030
08-14-18T07:44:15: Price Rows: 1040
08-14-18T07:44:15: Price Rows: 1050
08-14-18T07:44:15: Price Rows: 1060
08-14-18T07:44:15: Price Rows: 1070
08-14-18T07:44:15: Price Rows: 1080
08-14-18T07:44:15: Price Rows: 1090
08-14-18T07:44:15: Price Rows: 1100
08-14-18T07:44:15: Price Rows: 1110
08-14-18T07:44:15: Price Rows: 1120
08-14-18T07:44:15: Price Rows: 1130
08-14-18T07:44:15: Price Rows: 1140
08-14-18T07:44:15: Price Rows: 1150
08-14-18T07:44:15: Price Rows: 1160
08-14-18T07:44:15: Price Rows: 1170
08-14-18T07:44:15: Price Rows: 1180
08-14-18T07:44:15: Price Rows: 1190
08-14-18T07:44:15: Price Rows: 1200
08-14-18T07:44:15: Price Rows: 1210
08-14-18T07:44:15: Price Rows: 1220
08-14-18T07:44:15: Price Rows: 1230
08-14-18T07:44:15: Price Rows: 1240
08-14-18T07:44:15: Price Rows: 1250
08-14-18T07:44:15: Price Rows: 1260
08-14-18T07:44:15: Price Rows: 1270
08-14-18T07:44:15: Price Rows: 1280
08-14-18T07:44:15: Price Rows: 1290
08-14-18T07:44:15: Price Rows: 1300
08-14-18T07:44:15: Price Rows: 1310
08-14-18T07:44:15: Price Rows: 1320
08-14-18T07:44:15: Price Rows: 1330
08-14-18T07:44:15: Price Rows: 1340
08-14-18T07:44:15: Price Rows: 1350
08-14-18T07:44:15: Price Rows: 1360
08-14-18T07:44:15: Price Rows: 1370
08-14-18T07:44:15: Price Rows: 1380
08-14-18T07:44:15: Price Rows: 1390
08-14-18T07:44:15: Price Rows: 1400
08-14-18T07:44:15: Price Rows: 1410
08-14-18T07:44:15: Price Rows: 1420
08-14-18T07:44:16: Price Rows: 1430
08-14-18T07:44:16: Price Rows: 1440
08-14-18T07:44:16: Price Rows: 1450
08-14-18T07:44:16: Price Rows: 1460
08-14-18T07:44:16: Price Rows: 1470
08-14-18T07:44:16: Price Rows: 1480
08-14-18T07:44:16: Price Rows: 1490
08-14-18T07:44:16: Price Rows: 1500
08-14-18T07:44:16: Price Rows: 1510
08-14-18T07:44:16: Price Rows: 1520
08-14-18T07:44:16: Price Rows: 1530
08-14-18T07:44:16: Price Rows: 1540
08-14-18T07:44:16: Price Rows: 1550
08-14-18T07:44:16: Price Rows: 1560
08-14-18T07:44:16: Price Rows: 1570
08-14-18T07:44:16: Price Rows: 1580
08-14-18T07:44:16: Price Rows: 1590
08-14-18T07:44:16: Price Rows: 1600
08-14-18T07:44:16: Price Rows: 1610
08-14-18T07:44:16: Price Rows: 1620
08-14-18T07:44:16: Price Rows: 1630
08-14-18T07:44:16: Price Rows: 1640
08-14-18T07:44:16: Price Rows: 1650
08-14-18T07:44:16: Price Rows: 1660
08-14-18T07:44:16: Price Rows: 1670
08-14-18T07:44:16: Price Rows: 1680
08-14-18T07:44:16: Price Rows: 1690
08-14-18T07:44:16: Price Rows: 1700
08-14-18T07:44:16: Price Rows: 1710
08-14-18T07:44:16: Price Rows: 1720
08-14-18T07:44:16: Price Rows: 1730
08-14-18T07:44:16: Price Rows: 1740
08-14-18T07:44:16: Price Rows: 1750
08-14-18T07:44:16: Price Rows: 1760
08-14-18T07:44:16: Price Rows: 1770
08-14-18T07:44:16: Price Rows: 1780
08-14-18T07:44:16: Price Rows: 1790
08-14-18T07:44:16: Price Rows: 1800
08-14-18T07:44:16: Price Rows: 1810
08-14-18T07:44:16: Price Rows: 1820
08-14-18T07:44:16: Price Rows: 1830
08-14-18T07:44:16: Price Rows: 1840
08-14-18T07:44:16: Price Rows: 1850
08-14-18T07:44:16: Price Rows: 1860
08-14-18T07:44:16: Price Rows: 1870
08-14-18T07:44:16: Price Rows: 1880
08-14-18T07:44:16: Price Rows: 1890
08-14-18T07:44:16: Price Rows: 1900
08-14-18T07:44:16: Price Rows: 1910
08-14-18T07:44:16: Price Rows: 1920
08-14-18T07:44:16: Price Rows: 1930
08-14-18T07:44:16: Price Rows: 1940
08-14-18T07:44:16: Price Rows: 1950
08-14-18T07:44:16: Price Rows: 1960
08-14-18T07:44:16: Price Rows: 1970
08-14-18T07:44:16: Price Rows: 1980
08-14-18T07:44:16: Price Rows: 1990
08-14-18T07:44:16: Price Rows: 2000
08-14-18T07:44:16: Price Rows: 2010
08-14-18T07:44:16: Price Rows: 2020
08-14-18T07:44:16: Price Rows: 2030
08-14-18T07:44:16: Price Rows: 2040
08-14-18T07:44:16: Price Rows: 2050
08-14-18T07:44:16: Price Rows: 2060
08-14-18T07:44:16: Price Rows: 2070
08-14-18T07:44:16: Price Rows: 2080
08-14-18T07:44:16: Price Rows: 2090
08-14-18T07:44:16: Price Rows: 2100
08-14-18T07:44:16: Price Rows: 2110
08-14-18T07:44:16: Price Rows: 2120
08-14-18T07:44:16: Price Rows: 2130
08-14-18T07:44:16: Price Rows: 2140
08-14-18T07:44:16: Price Rows: 2150
08-14-18T07:44:16: Price Rows: 2160
08-14-18T07:44:16: Price Rows: 2170
08-14-18T07:44:16: Price Rows: 2180
08-14-18T07:44:16: Price Rows: 2190
08-14-18T07:44:16: Price Rows: 2200
08-14-18T07:44:16: Price Rows: 2210
08-14-18T07:44:16: Price Rows: 2220
08-14-18T07:44:16: Price Rows: 2230
08-14-18T07:44:16: Price Rows: 2240
08-14-18T07:44:16: Price Rows: 2250
08-14-18T07:44:16: Price Rows: 2260
08-14-18T07:44:16: Price Rows: 2270
08-14-18T07:44:16: Price Rows: 2280
08-14-18T07:44:16: Price Rows: 2290
08-14-18T07:44:16: Price Rows: 2300
08-14-18T07:44:16: Price Rows: 2310
08-14-18T07:44:16: Price Rows: 2320
08-14-18T07:44:16: Price Rows: 2330
08-14-18T07:44:16: Price Rows: 2340
08-14-18T07:44:16: Price Rows: 2350
08-14-18T07:44:16: Price Rows: 2360
08-14-18T07:44:16: Price Rows: 2370
08-14-18T07:44:16: Price Rows: 2380
08-14-18T07:44:16: Price Rows: 2390
08-14-18T07:44:16: Price Rows: 2400
08-14-18T07:44:16: Price Rows: 2410
08-14-18T07:44:16: Price Rows: 2420
08-14-18T07:44:16: Price Rows: 2430
08-14-18T07:44:16: Price Rows: 2440
08-14-18T07:44:16: Price Rows: 2450
08-14-18T07:44:16: Price Rows: 2460
08-14-18T07:44:16: Price Rows: 2470
08-14-18T07:44:16: Price Rows: 2480
08-14-18T07:44:16: Price Rows: 2490
08-14-18T07:44:16: Price Rows: 2500
08-14-18T07:44:16: Price Rows: 2510
08-14-18T07:44:16: Price Rows: 2520
08-14-18T07:44:16: Price Rows: 2530
08-14-18T07:44:16: Price Rows: 2540
08-14-18T07:44:16: Price Rows: 2550
08-14-18T07:44:16: Price Rows: 2560
08-14-18T07:44:16: Price Rows: 2570
08-14-18T07:44:16: Price Rows: 2580
08-14-18T07:44:16: Price Rows: 2590
08-14-18T07:44:16: Price Rows: 2600
08-14-18T07:44:16: Price Rows: 2610
08-14-18T07:44:16: Price Rows: 2620
08-14-18T07:44:16: Price Rows: 2630
08-14-18T07:44:16: Price Rows: 2640
08-14-18T07:44:16: Price Rows: 2650
08-14-18T07:44:16: Starting XSL Transform...this could take awhile
08-14-18T07:44:16: Completed XSL Transform.
08-14-18T07:44:16: End Log
