ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_084631102418,DOZEN ROSE BQT 50CM,37003209,37003209,,,,a,Default,Each,1.00,,,u,_084631102418,Master,6.95,0.00,1900-01-01,2075-12-31
_084631102456,DOZEN ROSE BQT 45CM,37003210,37003210,,,,a,Default,Each,1.00,,,u,_084631102456,Master,5.85,0.00,1900-01-01,2075-12-31
_084631102579,TRIO ROSE BQT 50CM,37003207,37003207,,,,a,Default,Each,1.00,,,u,_084631102579,Master,3.20,0.00,1900-01-01,2075-12-31
_08463110400,MINI CARNATION BOUQUET,37003199,37003199,,,,a,Default,Each,1.00,,,u,_084631104009,Master,3.25,0.00,1900-01-01,2075-12-31
_08463110407,5IN FLORAL ARRANGEMENTS IN BASKET TIN CERAMIC,37003213,37003213,,,,a,Default,Each,1.00,,,u,_084631104078,Master,9.45,0.00,1900-01-01,2075-12-31
_08463110408,6IN FLORAL ARRANGEMENTS IN BASKET,37003214,37003214,,,,a,Default,Each,1.00,,,u,_084631104085,Master,11.50,0.00,1900-01-01,2075-12-31
_08463110409,6IN FLORAL ARRANGEMENTS IN CERAMIC SEASONAL HOLIDA,37003216,37003216,,,,a,Default,Each,1.00,,,u,_084631104092,Master,13.95,0.00,1900-01-01,2075-12-31
_08463110410,SPARKLING SPRING BQT 7 STEM,37003197,37003197,,,,a,Default,Each,1.00,,,u,_084631104108,Master,4.89,0.00,1900-01-01,2075-12-31
_08643110335,SMALL SEASONAL BOUQUET,37003190,37003190,,,,a,Default,Each,1.00,,,u,_086431103350,Master,3.00,0.00,1900-01-01,2075-12-31
_08643110336,ELEGANCE BOUQUET,37003191,37003191,,,,a,Default,Each,1.00,,,u,_086431103367,Master,4.75,0.00,1900-01-01,2075-12-31
_08643110337,DESIGNER BOUQUET,37003192,37003192,,,,a,Default,Each,1.00,,,u,_086431103374,Master,6.25,0.00,1900-01-01,2075-12-31
_08643110338,CLASSIC BOUQUET,37003193,37003193,,,,a,Default,Each,1.00,,,u,_086431103381,Master,7.95,0.00,1900-01-01,2075-12-31
_08643110339,SELECT BOUQUET,37003194,37003194,,,,a,Default,Each,1.00,,,u,_086431103398,Master,9.75,0.00,1900-01-01,2075-12-31
_08643110340,GRAND ELEGANCE BOUQUET,37003196,37003196,,,,a,Default,Each,1.00,,,u,_086431103404,Master,11.90,0.00,1900-01-01,2075-12-31
_184631102418,DOZEN ROSE BQT SA 50CM SUNHINE,37003211,37003211,,,,a,Default,Each,1.00,,,,,Master,8.50,0.00,1900-01-01,2075-12-31
_184631102661,HALF DOZEN ROSE BQT 50CM,37003208,37003208,,,,a,Default,Each,1.00,,,,,Master,5.35,0.00,1900-01-01,2075-12-31
_184631102746,SINGLE ROSE BQT 50CM,37003206,37003206,,,,a,Default,Each,1.00,,,,,Master,1.65,0.00,1900-01-01,2075-12-31
_18463110406,SINGLE CARNATION BOUQUET,37003212,37003212,,,,a,Default,Each,1.00,,,,,Master,1.40,0.00,1900-01-01,2075-12-31
_18463110411,RAINBOW CRAZY DAISY 5 STEM,37003198,37003198,,,,a,Default,Each,1.00,,,,,Master,3.25,0.00,1900-01-01,2075-12-31
