ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_610764000316,BANG COTTON CANDY 16Z,1097817,1097817,,,,a,Default,Case,12.00,,,u,_610764000316,Master,16.50,0.00,1900-01-01,2075-12-31
_610764120472,BANG CHERRY BLADE LEMONADE 16Z,36013934,36013934,,,,a,Default,Case,12.00,,,u,_610764120472,Master,16.50,0.00,1900-01-01,2075-12-31
_610764251299,BANG RAINBOW UNICORN 16Z,36014104,36014104,,,,a,Default,Case,12.00,,,u,_610764251299,Master,16.50,0.00,1900-01-01,2075-12-31
_610764262271,BANG BANGSTER BERRY 16Z,36014120,36014120,,,,a,Default,Case,12.00,,,u,_610764262271,Master,16.50,0.00,1900-01-01,2075-12-31
_610764262288,BANG FROSE ROSE 16Z,1117359,1117359,,,,a,Default,Case,12.00,,,u,_610764262288,Master,16.50,0.00,1900-01-01,2075-12-31
_610764264640,BANG MOCHA COFFEE 16Z,36009380,36009380,,,,a,Default,Case,12.00,,,u,_610764264640,Master,28.00,0.00,1900-01-01,2075-12-31
_610764264688,BANG COOKIES N CREME 16Z,36014099,36014099,,,,a,Default,Case,12.00,,,u,_610764264688,Master,28.00,0.00,1900-01-01,2075-12-31
_610764264701,BANG HAZELNUT COFFEE 16Z,36009379,36009379,,,,a,Default,Case,12.00,,,u,_610764264701,Master,28.00,0.00,1900-01-01,2075-12-31
_610764826114,BANG ENERGY PINA COLADA 16Z,36014100,36014100,,,,a,Default,Case,12.00,,,u,_610764826114,Master,16.50,0.00,1900-01-01,2075-12-31
_610764826176,BANG PURPLE HAZE 16Z,36014116,36014116,,,,a,Default,Case,12.00,,,u,_610764826176,Master,16.50,0.00,1900-01-01,2075-12-31
_610764863119,BANG ENRGY PRPL GUAVA 16Z,36009376,36009376,,,,a,Default,Case,12.00,,,u,_610764863119,Master,16.50,0.00,1900-01-01,2075-12-31
_610764863430,BANG SOUR HEADS 16Z,1097811,1097811,,,,a,Default,Case,12.00,,,u,_610764863430,Master,16.50,0.00,1900-01-01,2075-12-31
_610764863638,BANG BLUE RAZZ 16Z,1097813,1097813,,,,a,Default,Case,12.00,,,u,_610764863638,Master,16.50,0.00,1900-01-01,2075-12-31
_610764863652,BANG STAR BLAST 16Z,1097819,1097819,,,,a,Default,Case,12.00,,,u,_610764863652,Master,16.50,0.00,1900-01-01,2075-12-31
_610764863775,BANG ENRGY BLCK CHRY VAN 16Z,36009375,36009375,,,,a,Default,Case,12.00,,,u,_610764863775,Master,16.50,0.00,1900-01-01,2075-12-31
_610764863812,BANG ENRGY PEACH MANGO 16Z,36014101,36014101,,,,a,Default,Case,12.00,,,u,_610764863812,Master,16.50,0.00,1900-01-01,2075-12-31
