ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_00018200281402,BUD LT 20PK 16z ALUM,1076335,1076335,,,,a,401 01G 000,Case,20.00,,,u,_018200281402,Master,19.40,0.00,2016-02-01,2075-12-31
_018200000164,BUD 6PK 12z CN,13440,13440,,,,a,401 01B 000,Case,24.00,,,e,_0182000052378,Master,24.15,0.00,2018-10-01,2075-12-31
_018200000164,,,,,,,,,,,,,u,_018200000164,,,,,
_018200000164,,,,,,,,,,,,,u,_018200005237,,,,,
_018200000164,,,,,,,,,,,,,u,_018200110344,,,,,
_018200000164,,,,,,,,,,,,,u,_018200114557,,,,,
_018200000188,BUD 6PK 16z CN,13442,13442,,,,a,401 01B 000,Case,24.00,,,u,_018200000188,Master,30.40,0.00,2018-10-01,2075-12-31
_018200000188,,,,,,,,,,,,,u,_018200110436,,,,,
_018200000317,NATURAL LT 6PK 12z CN,13490,13490,,,,a,401 01B 000,Case,24.00,,,u,_018200000317,Master,15.34,0.00,1900-01-01,2075-12-31
_018200000430,NATURAL LT 6PK 16z CN,28289,28289,,,,a,401 01B 000,Case,24.00,,,u,_018200000430,Master,16.62,0.00,1900-01-01,2075-12-31
_018200000430,,,,,,,,,,,,,u,_018200150432,,,,,
_018200000515,BUSCH 6PK 12z CN,14090,14090,,,,a,401 01B 000,Case,24.00,,,u,_018200000515,Master,13.74,0.00,1900-01-01,2075-12-31
_018200000638,BUSCH 6PK 16z CN,13458,13458,,,,a,401 01B 000,Case,24.00,,,u,_018200000638,Master,18.22,0.00,1900-01-01,2075-12-31
_018200000638,,,,,,,,,,,,,u,_018200610431,,,,,
_018200000645,BUD LT PLATINUM 22z LN,1051285,1051285,,,,a,401 01J 000,Case,15.00,,,u,_018200000645,Master,25.30,0.00,2018-10-01,2075-12-31
_018200000645,,,,,,,,,,,,,u,_018200009075,,,,,
_018200000676,NATURAL ICE 6PK 12z CN,44065,44065,,,,a,401 01B 000,Case,24.00,,,u,_018200000676,Master,8.62,0.00,1900-01-01,2075-12-31
_018200000676,,,,,,,,,,,,,u,_018200009679,,,,,
_018200000676,,,,,,,,,,,,,u,_018200270345,,,,,
_018200000782,NATURAL ICE 6PK 16z CN,42925,42925,,,,a,401 01B 000,Case,24.00,,,u,_018200000782,Master,16.62,0.00,1900-01-01,2075-12-31
_018200000782,,,,,,,,,,,,,u,_018200270437,,,,,
_018200001062,BUD LT 6PK 12z CN,13450,13450,,,,a,401 01B 000,Case,24.00,,,u,_018200001062,Master,24.15,0.00,2018-10-01,2075-12-31
_018200001062,,,,,,,,,,,,,u,_018200530340,,,,,
_018200001154,BUD LT 6PK 16z CN,13452,13452,,,,a,401 01B 000,Case,24.00,,,u,_018200001154,Master,30.40,0.00,2018-10-01,2075-12-31
_018200001154,,,,,,,,,,,,,u,_018200530432,,,,,
_018200001260,BUD 40z LN,13443,13443,,,,a,401 01J 000,Case,12.00,,,u,_018200001260,Master,32.95,0.00,2018-10-01,2075-12-31
_018200001260,,,,,,,,,,,,,u,_018200111273,,,,,
_018200001468,BUSCH 40z LN,13459,13459,,,,a,401 01J 000,Case,12.00,,,u,_018200001468,Master,22.98,0.00,1900-01-01,2075-12-31
_018200001468,,,,,,,,,,,,,u,_018200611278,,,,,
_018200001604,BUD LT 40z LN,13453,13453,,,,a,401 01J 000,Case,12.00,,,u,_018200001604,Master,32.95,0.00,2018-10-01,2075-12-31
_018200001604,,,,,,,,,,,,,u,_018200531279,,,,,
_018200001741,BUD LT LIME-A-RITA 4PK 16Z CN,1051284,1051284,,,,a,401 01A 000,Case,24.00,,,u,_018200001741,Master,38.37,0.00,1900-01-01,2075-12-31
_018200001888,BUSCH LT 6PK 12z CN,14089,14089,,,,a,401 01B 000,Case,24.00,,,u,_018200001888,Master,13.74,0.00,1900-01-01,2075-12-31
_018200001888,,,,,,,,,,,,,u,_182000018886,,,,,
_018200002144,BUD LT LIME 22z LN,176528,176528,,,,a,401 01J 000,Case,15.00,,,u,_018200002144,Master,25.30,0.00,2018-10-01,2075-12-31
_018200002144,,,,,,,,,,,,,u,_018200963186,,,,,
_018200002427,BUSCH LT 25z CN,x1-59071,59071,,,,a,401 01J 000,Case,15.00,,,u,_018200002427,Master,14.60,0.00,2017-08-09,2075-12-31
_018200002427,,,,,,,,,,,,,u,_018200250040,,,,,
_018200002427,,,,,,,,,,,,,u,_018200862014,,,,,
_018200002427,,,,,,,,,,,,,u,_018200862359,,,,,
_018200002427,,,,,,,,,,,,,u,_018200862519,,,,,
_018200002700,BUSCH N/A 6PK 12z CN,32808,32808,,,,a,401 02A 000,Case,24.00,,,u,_018200002700,Master,13.10,0.00,1900-01-01,2075-12-31
_018200002700,,,,,,,,,,,,,u,_018200670343,,,,,
_018200003608,NATURAL ICE 40z LN,153929,153929,,,,a,401 01J 000,Case,12.00,,,u,_018200003608,Master,19.14,0.00,1900-01-01,2075-12-31
_018200003608,,,,,,,,,,,,,u,_018200183607,,,,,
_018200003608,,,,,,,,,,,,,u,_018200271274,,,,,
_018200004261,BUSCH LT 6PK 16z CN,16582,16582,,,,a,401 01B 000,Case,24.00,,,u,_018200004261,Master,18.22,0.00,1900-01-01,2075-12-31
_018200004261,,,,,,,,,,,,,u,_018200860737,,,,,
_018200004551,BUD 18z LN,1050347,1050347,,,,a,401 01J 000,Case,15.00,,,u,_018200004551,Master,13.90,0.00,2018-12-12,2075-12-31
_018200004568,BUD LT 18z LN,1050348,1050348,,,,a,401 01J 000,Case,15.00,,,u,_018200004568,Master,13.90,0.00,2018-12-12,2075-12-31
_018200004612,BUSCH LT 40z LN,23524,23524,,,,a,401 01J 000,Case,12.00,,,u,_018200004612,Master,22.98,0.00,1900-01-01,2075-12-31
_018200004612,,,,,,,,,,,,,u,_018200861314,,,,,
_018200004629,BUD ICE 18z LN,1050382,1050382,,,,a,401 01J 000,Case,15.00,,,u,_018200004629,Master,16.80,0.00,1900-01-01,2075-12-31
_018200004773,SHOCK TOP 22Z LN,1066287,1066287,,,,a,401 01J 000,Case,15.00,,,u,_018200004773,Master,28.77,0.00,2015-03-04,2075-12-31
_018200004780,BUD 22z LN,16162,16162,,,,a,401 01J 000,Case,15.00,,,u,_018200004780,Master,26.33,0.00,1900-01-01,2075-12-31
_018200004780,,,,,,,,,,,,,u,_018200114199,,,,,
_018200004780,,,,,,,,,,,,,u,_018200114229,,,,,
_018200004810,BUD LT 22z LN,16163,16163,,,,a,401 01J 000,Case,15.00,,,u,_018200004810,Master,23.20,0.00,2015-09-28,2075-12-31
_018200004810,,,,,,,,,,,,,u,_018200534195,,,,,
_018200004810,,,,,,,,,,,,,u,_018200534225,,,,,
_018200005060,STELLA ARTOIS 24PK 15z CN,1050854,1050854,,,,a,401 01H 000,Case,24.00,,,u,_018200005060,Master,28.10,0.00,2018-12-12,2075-12-31
